text,duration,question,answer,speech_path,whisper_transcription
she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman,6.865,How would you describe the bed that she saw?,The bed she saw was gilded and so rich that it seemed to belong to a prince rather than a private gentleman.,LibriSpeech/test-clean/5639/40744/5639-40744-0013.wav,
among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window,7.72,What caught her attention as she looked around the room?,Among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window.,LibriSpeech/test-clean/5639/40744/5639-40744-0014.wav,
this person was rodolfo who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl,11.02,Who is the person mentioned in the text and what did they change their mind about?,The person mentioned in the text is Rodolfo. He changed his mind about looking for his friends because he believed it was not wise to inform them about the conversation he had with the girl.,LibriSpeech/test-clean/5639/40744/5639-40744-0015.wav,
on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go,9.49,Why did he decide to tell them something different instead?,What made him resolve to inform them differently?,LibriSpeech/test-clean/5639/40744/5639-40744-0016.wav,
choking with emotion leocadi made a sign to her parents that she wished to be alone with them,5.88,What did Leocadi do to communicate her desire to be alone with her parents?,Leocadi made a sign to her parents indicating that she wished to be alone with them.,LibriSpeech/test-clean/5639/40744/5639-40744-0017.wav,
that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image has been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there,15.4149375,What does the father think about his child's plan?,"The father thinks that the child's plan would have worked well, if it were not for the possibility of being foiled by someone using ordinary cunning.",LibriSpeech/test-clean/5639/40744/5639-40744-0018.wav,
what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment,12.06,What is suggested as the best course of action for the child mentioned in the text?,"The best thing for the child to do is to hold on to the mentioned object and pray to it. The belief is that since the object witnessed and observed the child's downfall, it will be inclined to justify the child's case through a fair and moral judgment.",LibriSpeech/test-clean/5639/40744/5639-40744-0019.wav,
thus did this humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe her feelings,9.82,How did the father comfort his unhappy daughter and what did the mother do to help?,"The father comforted his unhappy daughter by showing humanity and a benevolent approach. He embraced her again and provided her with solace. The mother, in turn, did her best to ease her daughter's emotions by embracing her as well and offering comfort.",LibriSpeech/test-clean/5639/40744/5639-40744-0020.wav,
she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face,10.98,How did she spend her life with her parents?,"She lived with her parents in strict seclusion, avoiding any contact with others and hiding her emotions to prevent anyone from discovering her misfortune just by looking at her.",LibriSpeech/test-clean/5639/40744/5639-40744-0021.wav,
time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen,13.645,Who played the role of the midwife during the delivery?,Her mother took upon herself the role of midwife during the delivery.,LibriSpeech/test-clean/5639/40744/5639-40744-0022.wav,
when the boy walked through the streets blessings were showered upon him by all who saw him blessings upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well,13.92,How did people react to the boy as he walked through the streets?,Blessings were showered upon him by all who saw him.,LibriSpeech/test-clean/5639/40744/5639-40744-0023.wav,
one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,8.845,What did the boy witness while he was on his way to deliver a message for his grandfather?,The boy witnessed a large gathering of horsemen on the street.,LibriSpeech/test-clean/5639/40744/5639-40744-0024.wav,
the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot,8.785,What specific objects were still present in the room that the person was familiar with?,The bed and the cabinet where the image had been placed.,LibriSpeech/test-clean/5639/40744/5639-40744-0025.wav,
luis was out of danger in a fortnight in a month he rose from his bed and during all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child,14.5,How long did it take for Luis to recover from his illness?,Luis was out of danger and recovered in a fortnight.,LibriSpeech/test-clean/5639/40744/5639-40744-0026.wav,
thus saying and pressing the crucifix to her breast she fell fainting into the arms of dona estafania who as a gentlewoman to whose sex pity is as natural as cruelty is to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that there needed no other sprinkling of water to recover leocadia from her swoon,23.26,Who pressed the crucifix to her breast?,Leocadia.,LibriSpeech/test-clean/5639/40744/5639-40744-0027.wav,
i have great things to tell you senor said dona estafania to her husband the cream and substance of which is this the fainting girl before you is your daughter and that boy is your grandson,12.25,Who is speaking in the text? ,Dona Estafania is speaking in the text.,LibriSpeech/test-clean/5639/40744/5639-40744-0028.wav,
this truth which i have learned from her lips is confirmed by his face in which we have both beheld that of our son,7.305,Whose faces confirm the truth mentioned in the English text?,"Their faces, referring to the person speaking (the speaker) and the person mentioned earlier (her, possibly the speaker's partner), confirm the truth mentioned about their son.",LibriSpeech/test-clean/5639/40744/5639-40744-0029.wav,
just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remained in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies,22.285,How did the gentleman react when he heard Leocadia's story from his wife?,The gentleman remained in utter bewilderment until his wife repeated Leocadia's whole story to him from beginning to end.,LibriSpeech/test-clean/5639/40744/5639-40744-0030.wav,
so persuasive were her entreaties and so strong her assurances that no harm whatever could result to them from the information she sought they were induced to confess that one summer's night the same she had mentioned themselves and another friend being out on a stroll with rodolfo they had been concerned in the abduction of a girl whom rodolfo carried off whilst the rest of them detained her family who made a great outcry and would have defended her if they could,28.42,Who persuaded them to confess their involvement in the abduction?,She persuaded them to confess their involvement in the abduction.,LibriSpeech/test-clean/5639/40744/5639-40744-0031.wav,
for god's sake my lady mother give me a wife who would be an agreeable companion not one who will disgust me so that we may both bear evenly and with mutual good will the yoke imposed on us by heaven instead of pulling this way and that way and fretting each other to death,17.43,What does the speaker request from their mother?,The speaker asks their mother to find them a wife who will be a pleasant and compatible companion.,LibriSpeech/test-clean/5639/40744/5639-40744-0032.wav,
her bearing was graceful and animated she led her son by the hand and before her walked two maids with wax lights and silver candlesticks,9.15,Who is being described in the text?,The woman being described in the text.,LibriSpeech/test-clean/5639/40744/5639-40744-0033.wav,
all rose to do her reverence as if something from heaven had miraculously appeared before them but gazing on her entranced with admiration not one of them was able to address a single word to her,13.055,How did the people react when they saw her?,"They all rose to do her reverence as if something from heaven had miraculously appeared before them, and were entranced with admiration, unable to speak a single word to her.",LibriSpeech/test-clean/5639/40744/5639-40744-0034.wav,
she reflected how near she stood to the crisis which was to determine whether she was to be blessed or unhappy for ever and racked by the intensity of her emotions she suddenly changed colour her head dropped and she fell forward in a swoon into the arms of the dismayed estafania,17.52,What caused the woman to faint and fall into the arms of Estafania?,The intense emotions and realization of how close she was to a life-changing crisis caused her to faint and fall into Estafania's arms.,LibriSpeech/test-clean/5639/40744/5639-40744-0035.wav,
his mother had left her to him as being her destined protector but when she saw that he too was insensible she was near making a third and would have done so had he not come to himself,11.535,Why did the mother leave her son as the girl's protector?,The mother left her son as the girl's protector because she believed it was his destiny to fulfill that role.,LibriSpeech/test-clean/5639/40744/5639-40744-0036.wav,
know then son of my heart that this fainting lady is your real bride i say real because she is the one whom your father and i have chosen for you and the portrait was a pretence,11.45,Who chose the fainting lady as the son's bride?,The son's father and mother chose the fainting lady as his bride.,LibriSpeech/test-clean/5639/40744/5639-40744-0037.wav,
just at the moment when the tears of the pitying beholders flowed fastest and their ejaculations were most expressive of despair leocadia gave signs of recovery and brought back gladness to the hearts of all,13.8,When did Leocadia's recovery occur and what impact did it have on the people present?,"Leocadia's recovery and subsequent restoration of joy occurred at the precise moment when the onlookers were overwhelmed with sorrow, expressing despair through tears and exclamations.",LibriSpeech/test-clean/5639/40744/5639-40744-0038.wav,
when she came to her senses and blushing to find herself in rodolfo's arms would have disengaged herself no senora he said that must not be strive not to withdraw from the arms of him who holds you in his soul,14.375,What did Rodolfo tell the woman who was blushing and trying to disengage herself from his arms?,"""Strive not to withdraw from the arms of him who holds you in his soul.""",LibriSpeech/test-clean/5639/40744/5639-40744-0039.wav,
this was done for the event took place at a time when the consent of the parties was sufficient for the celebration of a marriage without any of the preliminary formalities which are now so properly required,12.51,What was the significance of the consent of the parties in the past for the celebration of a marriage?,The consent of the parties was sufficient for the celebration of a marriage without any of the preliminary formalities required at that time.,LibriSpeech/test-clean/5639/40744/5639-40744-0040.wav,
nor was rodolfo less surprised than they and the better to assure himself of so wonderful a fact he begged leocadia to give him some token which should make perfectly clear to him that which indeed he did not doubt since it was authenticated by his parents,17.2,What did Rodolfo request from Leocadia to confirm the astonishing news?,"Rodolfo requested Leocadia to give him some kind of token that would serve as proof and remove any doubts he had about the news, which was already authenticated by his parents.",LibriSpeech/test-clean/5639/40744/5639-40744-0041.wav,
notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,7.835,How did Hawkeye's high resolution affect his understanding of the difficulties and danger he was about to face?,"Hawkeye's high resolution did not hinder his comprehension; rather, it enabled him to fully understand all the difficulties and danger he was about to incur.",LibriSpeech/test-clean/1320/122617/1320-122617-0000.wav,
in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,14.055,What was the main focus of the person's thoughts upon returning to the camp?,"The person's main focus upon returning to the camp was devising means to counteract the watchfulness and suspicion of his enemies, which he believed were on par with his own intellect.",LibriSpeech/test-clean/1320/122617/1320-122617-0001.wav,
in other words while he had implicit faith in the ability of balaam's ass to speak he was somewhat skeptical on the subject of a bear's singing and yet he had been assured of the latter on the testimony of his own exquisite organs,13.585,How did the person feel about Balaam's ass being able to speak compared to a bear's singing?,"The person had implicit faith in the ability of Balaam's ass to speak, but they were somewhat skeptical about a bear's singing, despite being assured of the latter by their own exquisite organs.",LibriSpeech/test-clean/1320/122617/1320-122617-0002.wav,
there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,6.285,What impression did the scout get from observing the man's demeanor?,Was there something in the man's air and manner that indicated a troubled state of mind?,LibriSpeech/test-clean/1320/122617/1320-122617-0003.wav,
the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,12.26,How did Hawkeye feel about the other person leaving his post at the bedside of the sick woman?,"The ingenious Hawkeye had suspicions about the subject of the solemn deliberation, remembering the hasty manner in which the other person had abandoned his post.",LibriSpeech/test-clean/1320/122617/1320-122617-0004.wav,
the bear shook his shaggy sides and then a well known voice replied,4.4,Who or what replied after the bear shook his shaggy sides?,A well-known voice replied.,LibriSpeech/test-clean/1320/122617/1320-122617-0005.wav,
can these things be returned david breathing more freely as the truth began to dawn upon him,5.655,What does David feel after realizing the truth?,David feels relieved and is able to breathe more freely as the truth starts to become clear to him.,LibriSpeech/test-clean/1320/122617/1320-122617-0006.wav,
come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,18.525,What does Hawkeye do to assure his companion's wavering confidence?,Hawkeye uncases his honest countenance.,LibriSpeech/test-clean/1320/122617/1320-122617-0007.wav,
the young man is in bondage and much i fear his death is decreed,4.185,What is the current situation of the young man mentioned in the text?,The young man is in bondage or captivity.,LibriSpeech/test-clean/1320/122617/1320-122617-0008.wav,
i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him,7.705,Why does the speaker feel mournful about someone's death?,The speaker feels mournful about someone's death because they were well disposed but died without knowledge.,LibriSpeech/test-clean/1320/122617/1320-122617-0009.wav,
the task will not be difficult returned david hesitating though i greatly fear your presence would rather increase than mitigate his unhappy fortunes,10.0,What is David's reaction to the task at hand?,"David hesitates, indicating that he finds the task to be difficult.",LibriSpeech/test-clean/1320/122617/1320-122617-0010.wav,
the lodge in which uncas was confined was in the very center of the village and in a situation perhaps more difficult than any other to approach or leave without observation,9.76,Where was the lodge where Uncas was confined located within the village?,The lodge where Uncas was confined was situated in the very center of the village.,LibriSpeech/test-clean/1320/122617/1320-122617-0011.wav,
four or five of the latter only lingered about the door of the prison of uncas wary but close observers of the manner of their captive,7.59,How many individuals were observed lingering near the door of the prison of Uncas?,Four or five individuals were observed lingering near the door of the prison of Uncas.,LibriSpeech/test-clean/1320/122617/1320-122617-0012.wav,
delivered in a strong tone of assent announced the gratification the savage would receive in witnessing such an exhibition of weakness in an enemy so long hated and so much feared,10.755,What was the tone in which the person announced the gratification the savage would receive?,The tone in which the person announced the gratification the savage would receive was strong.,LibriSpeech/test-clean/1320/122617/1320-122617-0013.wav,
they drew back a little from the entrance and motioned to the supposed conjurer to enter,4.9,Who motioned to the supposed conjurer to enter?,They motioned to the supposed conjurer to enter.,LibriSpeech/test-clean/1320/122617/1320-122617-0014.wav,
but the bear instead of obeying maintained the seat it had taken and growled,5.125,What was the bear's reaction when told to move from the seat it had taken?,"Rather than obeying, the bear growled and refused to give up the seat it had claimed.",LibriSpeech/test-clean/1320/122617/1320-122617-0015.wav,
the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,10.085,Why is the cunning man afraid of his breath blowing upon his brothers?,"The cunning man is afraid that his breath will take away their courage too, so he wants his brothers to stand further off.",LibriSpeech/test-clean/1320/122617/1320-122617-0016.wav,
then as if satisfied of their safety the scout left his position and slowly entered the place,5.655,What did the scout do after feeling assured of their security?,The scout abandoned his post and cautiously entered the area.,LibriSpeech/test-clean/1320/122617/1320-122617-0017.wav,
it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purposed of cookery,9.695,How would you describe the atmosphere of the place described in the text?,"The atmosphere of the place is described as silent and gloomy, with only the captive occupying it. Additionally, the space is dimly lit by the dying embers of a fire that was previously used for cooking.",LibriSpeech/test-clean/1320/122617/1320-122617-0018.wav,
uncas occupied a distant corner in a reclining attitude being rigidly bound both hands and feet by strong and painful withes,8.23,How was Uncas positioned in the given English text and what was restraining him?,"Uncas was situated in a distant corner, reclining in a rigid manner. His hands and feet were firmly bound by sturdy and agonizing withes.",LibriSpeech/test-clean/1320/122617/1320-122617-0019.wav,
the scout who had left david at the door to ascertain they were not observed thought it prudent to preserve his disguise until assured of their privacy,8.895,What did the scout do after leaving David at the door?,The scout thought it was wise to continue disguising himself until he was certain they were alone and not being watched.,LibriSpeech/test-clean/1320/122617/1320-122617-0020.wav,
what shall we do with the mingoes at the door they count six and this singer is as good as nothing,5.335,How many mingoes are at the door and what is the singer's level of talent?,"There are six mingoes at the door, and the singer's talent level is considered to be very low or insignificant.",LibriSpeech/test-clean/1320/122617/1320-122617-0021.wav,
the delawares are children of the tortoise and they outstrip the deer,3.855,Who are the delawares and what makes them unique compared to the deer?,"The delawares are children of the tortoise, and they surpass the deer in some way.",LibriSpeech/test-clean/1320/122617/1320-122617-0022.wav,
uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,7.815,Why did Uncas step back from the door and return to the bottom of the lodge?,"Uncas, who had initially positioned himself by the door, suddenly retreated and positioned himself back at the bottom of the lodge.",LibriSpeech/test-clean/1320/122617/1320-122617-0023.wav,
but hawkeye who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion,7.555,Who was too preoccupied with their own thoughts to notice the movement?,Hawkeye was too much occupied with his own thoughts to note the movement.,LibriSpeech/test-clean/1320/122617/1320-122617-0024.wav,
so uncas you had better take the lead while i will put on the skin again and trust to cunning for want of speed,6.36,Who will take the lead while the speaker puts on the skin again?,Uncas,LibriSpeech/test-clean/1320/122617/1320-122617-0025.wav,
well what can't be done by main courage in war must be done by circumvention,5.225,How does the text suggest achieving success in a war when courage alone is not enough?,"According to the text, when courage alone cannot accomplish something in war, one must resort to circumvention or finding alternative strategies to achieve their goals.",LibriSpeech/test-clean/1320/122617/1320-122617-0026.wav,
as soon as these dispositions were made the scout turned to david and gave him his parting instructions,5.6899375,What happened after the dispositions were made? ,The scout turned to David and gave him his parting instructions.,LibriSpeech/test-clean/1320/122617/1320-122617-0027.wav,
my pursuits are peaceful and my temper i humbly trust is greatly given to mercy and love returned david a little nettled at so direct an attack on his manhood but there are none who can say that i have ever forgotten my faith in the lord even in the greatest straits,15.995,What qualities does the speaker claim to possess in their pursuits and temperament?,The speaker claims to have peaceful pursuits and humbly believes that their temperament is greatly inclined towards mercy and love.,LibriSpeech/test-clean/1320/122617/1320-122617-0028.wav,
if you are not then knocked on the head your being a non composser will protect you and you'll then have a good reason to expect to die in your bed,7.875,What can protect you from being considered a non composser and allow you to die peacefully in your bed? ,"If you are not knocked on the head, your sanity will protect you from being considered a non composser, thus allowing you to expect a peaceful death in your bed.",LibriSpeech/test-clean/1320/122617/1320-122617-0029.wav,
so choose for yourself to make a rush or tarry here,3.98,What is the author suggesting the reader do?,The author is suggesting that the reader should decide whether to hurry or stay here.,LibriSpeech/test-clean/1320/122617/1320-122617-0030.wav,
bravely and generously has he battled in my behalf and this and more will i dare in his service,6.285,How would you describe the person's actions in the speaker's behalf and what does the speaker intend to do in return?,"In the speaker's behalf, the person has battled bravely and generously. In return, the speaker intends to dare more in their service.",LibriSpeech/test-clean/1320/122617/1320-122617-0031.wav,
keep silent as long as may be and it would be wise when you do speak to break out suddenly in one of your shoutings which will serve to remind the indians that you are not altogether as responsible as men should be,11.28,How does the text suggest one should behave in the presence of Indians?,"The text suggests that it is advisable to remain quiet for as long as possible when around Indians. However, when one does decide to speak, it is wise to suddenly burst out in a loud shouting, which serves as a way to remind the Indians that you are not entirely responsible as men should be.",LibriSpeech/test-clean/1320/122617/1320-122617-0032.wav,
if however they take your scalp as i trust and believe they will not depend on it uncas and i will not forget the deed but revenge it as becomes true warriors and trusty friends,11.045,What does the speaker plan to do if their scalp is taken?,"If their scalp is taken, the speaker intends to seek revenge on their behalf as it is their duty as true warriors and loyal friends.",LibriSpeech/test-clean/1320/122617/1320-122617-0033.wav,
hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,9.485,What quality does David associate with himself in relation to the person he follows?,David perceives himself as an unworthy and humble follower of someone who did not teach the damnable principle of revenge.,LibriSpeech/test-clean/1320/122617/1320-122617-0034.wav,
then heaving a heavy sigh probably among the last he ever drew in pining for a condition he had so long abandoned he added it is what i would wish to practise myself as one without a cross of blood though it is not always easy to deal with an indian as you would with a fellow christian,18.22,How does the person feel about wanting to practice something themselves that they had abandoned long ago?,The person feels a sense of longing and sighs heavily because they wish to practice something they had abandoned for a long time.,LibriSpeech/test-clean/1320/122617/1320-122617-0035.wav,
god bless you friend i do believe your scent is not greatly wrong when the matter is duly considered and keeping eternity before the eyes though much depends on the natural gifts and the force of temptation,12.37,"What does the phrase ""god bless you friend"" indicate in the text?","The phrase ""god bless you friend"" is a common expression used to convey good wishes and sincerity towards the addressed person.",LibriSpeech/test-clean/1320/122617/1320-122617-0036.wav,
the delaware dog he said leaning forward and peering through the dim light to catch the expression of the other's features is he afraid,7.18,How does the speaker describe the actions of the Delaware dog?,"The speaker describes the Delaware dog as leaning forward, peering through the dim light, and wanting to catch the expression of the other person's features.",LibriSpeech/test-clean/1320/122617/1320-122617-0037.wav,
will the hurons hear his groans,2.24,Who is expected to hear his groans?,The Hurons.,LibriSpeech/test-clean/1320/122617/1320-122617-0038.wav,
the mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort,7.055,What did the mohican do after getting up?,The mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort.,LibriSpeech/test-clean/1320/122617/1320-122617-0039.wav,
he had no occasion to delay for at the next instant a burst of cries filled the outer air and ran along the whole extent of the village,7.975,What happened as soon as he was about to delay?,A burst of cries filled the outer air and ran along the whole extent of the village.,LibriSpeech/test-clean/1320/122617/1320-122617-0040.wav,
uncas cast his skin and stepped forth in his own beautiful proportions,4.15,What happened to Uncas in the given English text?,Uncas cast his skin and stepped forth in his own beautiful proportions.,LibriSpeech/test-clean/1320/122617/1320-122617-0041.wav,
since the period of our tale the active spirit of the country has surrounded it with a belt of rich and thriving settlements though none but the hunter or the savage is ever known even now to penetrate its wild recesses,13.48,Who are the only known individuals to enter the wild recesses of the country described in the text?,The hunter or the savage.,LibriSpeech/test-clean/1320/122612/1320-122612-0000.wav,
the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travelers resumed their journey,9.52,What was the state of the forest when the travelers continued their journey?,"The dews were allowed to evaporate, the sun had cleared away the mists, and a powerful and unobstructed sunlight illuminated the forest.",LibriSpeech/test-clean/1320/122612/1320-122612-0001.wav,
after proceeding a few miles the progress of hawkeye who led the advance became more deliberate and watchful,7.46,What happened to Hawkeye's progress after covering a few miles?,"After covering a few miles, Hawkeye's progress became more deliberate and watchful as he led the advance.",LibriSpeech/test-clean/1320/122612/1320-122612-0002.wav,
he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters,9.865,What were some of the behaviors he exhibited while exploring the surroundings?,"He often stopped to examine the trees and didn't cross a rivulet without attentively considering the quantity, velocity, and color of its waters.",LibriSpeech/test-clean/1320/122612/1320-122612-0003.wav,
distrusting his own judgment his appeals to the opinion of chingachgook were frequent and earnest,6.425,Why did the individual frequently and earnestly seek the opinion of Chingachgook?,Why did the individual repeatedly rely on and trust Chingachgook's judgment instead of his own?,LibriSpeech/test-clean/1320/122612/1320-122612-0004.wav,
yet here are we within a short range of the scaroons and not a sign of a trail have we crossed,5.915,What is the current situation of the speaker in relation to the scaroons and trails?,"What remains unclear is that despite being in close proximity to the scaroons, we have not come across any sign of a trail.",LibriSpeech/test-clean/1320/122612/1320-122612-0005.wav,
let us retrace our steps and examine as we go with keener eyes,4.845,What should we do in order to gain a better understanding of the situation?,Let us retrace our steps and examine as we go with keener eyes.,LibriSpeech/test-clean/1320/122612/1320-122612-0006.wav,
chingachgook had caught the look and motioning with his hand he bade him speak,5.54,Who signaled for someone else to speak in the given English text?,Chingachgook signaled for someone else to speak by motioning with his hand.,LibriSpeech/test-clean/1320/122612/1320-122612-0007.wav,
the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,7.875,What does the behavior of the youth indicate to the rest of the party?,"The behavior of the youth indicates success, as the whole party follows their unexpected movement and reads this success in the air of triumph.",LibriSpeech/test-clean/1320/122612/1320-122612-0008.wav,
it would have been more wonderful had he spoken without a bidding,3.88,How would the situation have been even better?,It would have been more wonderful if he had spoken without a bidding.,LibriSpeech/test-clean/1320/122612/1320-122612-0009.wav,
see said uncas pointing north and south at the evident marks of the broad trail on either side of him the dark hair has gone toward the forest,10.195,Where did the dark-haired person go according to Uncas?,The dark-haired person went towards the forest.,LibriSpeech/test-clean/1320/122612/1320-122612-0010.wav,
if a rock or a rivulet or a bit of earth harder than common severed the links of the clew they followed the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary,13.695,How did the scout handle obstacles that could potentially break the connection between his group?,"If a rock or a rivulet or a bit of earth harder than common severed the links of the clew, the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary.",LibriSpeech/test-clean/1320/122612/1320-122612-0011.wav,
extinguished brands were lying around a spring the offals of a deer were scattered about the place and the trees bore evident marks of having been browsed by the horses,10.49,What evidence is described surrounding a spring?,"Extinguished brands, scattered deer offals, and trees with clear signs of horse browsing.",LibriSpeech/test-clean/1320/122612/1320-122612-0012.wav,
a circle of a few hundred feet in circumference was drawn and each of the party took a segment for his portion,6.55,What did each member of the party do after a circle of a few hundred feet in circumference was drawn?,Each member of the party took a segment within the circle for themselves.,LibriSpeech/test-clean/1320/122612/1320-122612-0013.wav,
the examination however resulted in no discovery,3.515,What was the outcome of the examination?,The examination resulted in no discovery.,LibriSpeech/test-clean/1320/122612/1320-122612-0014.wav,
the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvion,6.385,What caused the party to gather in a specific location?,The party crowded to the spot because Uncas had pointed out the impression of a moccasin in the moist alluvion.,LibriSpeech/test-clean/1320/122612/1320-122612-0015.wav,
run back uncas and bring me the size of the singer's foot,3.49,Who is instructed to bring the size of the singer's foot?,Uncas is instructed to bring the size of the singer's foot.,LibriSpeech/test-clean/1320/122612/1320-122612-0016.wav,
